Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (MC Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
3.627362321873133e-07,0.09090909090909091
2.341910181796248e-06,0.09090909090909091
2.716633630133238e-08,0.09090909090909091
2.485545309603523e-08,0.09090909090909091
0.010381745624708668,0.09090909090909091
0.004161664345666283,0.09090909090909091
0.004027910218840374,0.09090909090909091
0.000795995245973516,0.09090909090909091
0.0,0.09090909090909091
4.1402930536520445e-05,0.09090909090909091
0.00048672654070900685,0.09090909090909091
